wt	TS_20delt_700	TS_20delt_750	TS_20delt_800	TS_20delt_850	TS_20delt_900	TS_20delt_950	TS_20delt_1000	
G1	0.2989999	0.2475116	0.1528966	0.1460067	0.1639056	0.1556267	0.1166345	0.1451392
G2	0.3413424	0.2414506	0.2163402	0.2604553	0.2059224	0.216949	0.1617181	0.2438277
G3	0.619569	0.4516096	0.4812543	0.499541	0.5231413	0.4948445	0.580921	0.5352683
G4	0.3985814	0.4915063	0.4843902	0.424838	0.3298195	0.2968004	0.3799718	0.3301278
G5	0.5850761	0.5155531	0.6664854	0.6381303	0.5416152	0.570057	0.6037902	0.6906473
G6	0.0687887	0.0419632	0.0273105	0.0603036	0.057044	0.0550001	0.0334897	0.0241701
G7	0.5655453	0.5874734	0.6253693	0.6804879	0.6392133	0.7536489	0.6533713	0.5748823
G8	0.4952519	0.4612801	0.486178	0.4000247	0.443112	0.3746252	0.4353595	0.4462387
G9	0.0160516	0.0135661	0.0124035	0.0080273	0.0054418	0.0111437	0.0057338	0.0231856
G10	0.4462654	0.3898403	0.4724743	0.4157252	0.4765073	0.4616107	0.4281637	0.4553701
G11	0.0233336	0.0250194	0.0126715	0.0132455	0.0118921	0.0031369	0.0222722	0.0104843
G12	0.4023196	0.3494216	0.4586884	0.3155941	0.4130896	0.3034731	0.3397639	0.2762369
G13	0.0513438	0.0434745	0.0364472	0.0451046	0.0337707	0.0149383	0.0215329	0.0251769
G14	0.0181884	0.0445361	0.039594	0.0199776	0.0252472	0.0095452	0.0120692	0.0323108
G15	0.0296683	0.0195285	0.0191472	0.00771	0.0025149	0.0040091	0.0104168	0.0048729
G16	0.0746033	0.0945697	0.1079669	0.0833697	0.0928746	0.0704945	0.0478477	0.104922
G17	0.3977057	0.416222	0.350057	0.3517949	0.3094714	0.3626313	0.2744203	0.246852
G18	0.4082599	0.4231395	0.5262737	0.5037054	0.533524	0.4308994	0.5078224	0.4440536
G19	0.0476163	0.0269465	0.0319743	0.0372751	0.0546598	0.0343161	0.0437135	0.0448876
G20	0	0.0006768	0.0028013	0.0042687	0.0022891	0.0006232	0.005283	0.001607
G21	0.055824	0.0202453	0.0632816	0.0534805	0.032664	0.0472082	0.0335463	0.0350933
G22	0.2771208	0.1583397	0.1678889	0.1019505	0.1094225	0.1273893	0.1284469	0.1607889
G23	0.4060593	0.4653801	0.3273469	0.2063113	0.0744822	0.0905007	0.131547	0.1061136
G24	0.5139409	0.3162402	0.4434522	0.3118269	0.2391211	0.1644156	0.1949373	0.1103452
G25	0.0857023	0.0988606	0.1243799	0.1203738	0.0937735	0.1098186	0.1277384	0.0926227
G26	0.7063528	0.6380352	0.6727876	0.6044617	0.6903608	0.737643	0.5749722	0.6533734
G27	0.4856222	0.4923613	0.4858869	0.3975779	0.3806393	0.4138789	0.4097436	0.3966547
G28	0.223476	0.2787987	0.2824364	0.318959	0.536378	0.333501	0.46041	0.3835173
G29	0.289854	0.2471174	0.2063822	0.1422241	0.1156449	0.1554551	0.1817531	0.1277344
G30	0.4851863	0.4795366	0.4790433	0.4831163	0.4466704	0.5997252	0.4572623	0.4087453
G31	0.2405962	0.2784987	0.2191247	0.2138435	0.1779724	0.1845284	0.2255078	0.2324215
G32	0.0173254	0.022488	0.0106482	0.0510273	0.0148286	0.0349701	0.0271811	0.0268251
G33	0.1828456	0.177218	0.1384173	0.1791751	0.1709936	0.2114741	0.1775969	0.1977887
G34	0.1216999	0.1015948	0.1254656	0.0903557	0.1448328	0.1482841	0.1691042	0.0980124
G35	0.7679503	0.5141709	0.5894438	0.6078033	0.4745571	0.5749205	0.5649414	0.7047635
G36	0.7800954	0.6224093	0.642428	0.5768526	0.5984157	0.6577109	0.7559719	0.5962584
G37	0.6231986	0.5875645	0.6616974	0.6219499	0.6592425	0.67762	0.7598375	0.6663298
G38	0.0726205	0.1127842	0.0884123	0.1088686	0.1240312	0.0804181	0.1040278	0.1418564
G39	0.0971433	0.066137	0.053469	0.0629476	0.0350795	0.042125	0.0852471	0.0381434
G40	0.6214428	0.6515588	0.6120966	0.5996307	0.6652879	0.6092323	0.6223202	0.4997453
G41	0.0455457	0.1109645	0.0496855	0.0330945	0.0211366	0.0494305	0.0790401	0.0416211
G42	0.5536396	0.7159219	0.6027857	0.5843763	0.6401263	0.552224	0.6993282	0.661323
G43	0.5862862	0.606281	0.6419052	0.5506344	0.5859805	0.9053928	0.646286	0.6479594
G44	0.5511173	0.4723839	0.439649	0.4079484	0.5422657	0.4759107	0.5178195	0.4776929
G45	0.5808746	0.5376186	0.6064973	0.6819613	0.6792915	0.6599732	0.6218761	0.5163382
G46	0.587045	0.7003131	0.7743164	0.5783752	0.5678813	0.6355963	0.5751592	0.5860431
G47	0.5437313	0.5468962	0.5145077	0.6186314	0.520458	0.5726389	0.5535026	0.5846769
G48	0.4281315	0.5362663	0.5431819	0.5501305	0.4867935	0.5723588	0.5707359	0.6231273
G49	0.2316683	0.3835104	0.3633987	0.4488885	0.3549302	0.5018553	0.5095413	0.3946976
G50	0.2222335	0.1770823	0.2045484	0.1632436	0.1173839	0.1672706	0.1056317	0.164661
G51	0.5978242	0.5467131	0.5156889	0.5791215	0.6199521	0.6070846	0.6390631	0.536338
G52	0.6267874	0.6268263	0.7760143	0.5586945	0.7360281	0.5376725	0.6153077	0.5166978
G53	0.3962729	0.357447	0.2996417	0.402245	0.3232155	0.3502718	0.4687992	0.4363644
G54	0.2085962	0.2513214	0.1503046	0.2041632	0.1794319	0.2470216	0.265254	0.2091653
G55	0.5495388	0.4693974	0.5273773	0.5190441	0.499287	0.5005589	0.4918656	0.5033439
G56	0.3844534	0.2923128	0.2525191	0.343163	0.3299793	0.2575071	0.2527029	0.4047424
G57	0.3880933	0.2971565	0.2637481	0.262999	0.2198239	0.2662323	0.2065498	0.3057333
G58	0.1976118	0.2770159	0.1667396	0.2581764	0.2152472	0.2559997	0.187333	0.2129357
G59	0.0919336	0.1439536	0.1077569	0.0643113	0.071569	0.1095941	0.1052994	0.0943302
G60	0.2478216	0.3133617	0.2322606	0.1902005	0.1989052	0.2252878	0.2370365	0.2150031
G61	0.0761439	0.0204649	0.0166653	0.0281802	0.0079726	0.0125936	0.0114107	0.0186466
G62	0.4795324	0.3670735	0.3389574	0.270041	0.2840227	0.3105122	0.2695581	0.3424878
G63	0.572939	0.6768062	0.5853009	0.5847993	0.6601072	0.5969246	0.568223	0.6613993
G64	0.4884743	0.499715	0.5418089	0.3838852	0.4630887	0.360088	0.3770204	0.4770405
G65	0.64964	0.5246389	0.4398966	0.4937398	0.5358807	0.466604	0.5033657	0.5582718
G66	0.2061712	0.2968202	0.2940798	0.1886203	0.3186942	0.3186899	0.3482114	0.3507609
G67	0.3804142	0.3718682	0.3890203	0.4378214	0.3156758	0.3079551	0.3231826	0.303817
G68	0.5720058	0.6258277	0.4994486	0.4049639	0.3816688	0.3341702	0.3729194	0.5774532
G69	0.2746836	0.3475655	0.4688873	0.473496	0.4418835	0.4125941	0.4407833	0.4993815
G70	0.0149198	0.0496576	0.0822722	0.0139471	0.0112095	0.0133063	0.0476769	0.0165035
G71	0.264543	0.215889	0.2451233	0.1479361	0.1378788	0.1647365	0.1995457	0.1898308
G72	0.1009081	0.0534359	0.0187561	0.0304284	0.0068468	0.0221677	0.0192389	0.0083569
G73	0.1338594	0.0492925	0.0210276	0.0387572	0.0327438	0.0403009	0.0193907	0.044742
G74	0.350789	0.1928268	0.176766	0.1303761	0.1008761	0.0655552	0.0653393	0.1230414
G75	0.4666576	0.3319831	0.3617065	0.3757015	0.4418584	0.4270295	0.4234522	0.445911
G76	0.1397283	0.3646367	0.4147705	0.5250865	0.5697443	0.6454345	0.6716935	0.5401574
G77	0.398069	0.2580301	0.0776382	0.0792661	0.0217017	0.0290669	0.0180377	0.0123136
G78	0.084545	0.1387833	0.1373343	0.1120029	0.1054411	0.103103	0.1089666	0.051021
G79	0.1043783	0.1510017	0.1535918	0.1393684	0.100826	0.1360818	0.1817438	0.1814393
G80	0.027689	0.0072558	0.0331379	0.0267683	0.018891	0.039515	0.0302059	0.0715569
G81	0.421236	0.366019	0.3432153	0.398374	0.354503	0.3463273	0.4640121	0.3499737
G82	0.0991597	0.1202864	0.1042161	0.1198776	0.1317861	0.0920234	0.1027433	0.1177567
G83	0.5035153	0.7006862	0.5537926	0.5430015	0.5729952	0.6327593	0.5715485	0.5840179
G84	0.1620345	0.1100356	0.1465131	0.1440662	0.1981905	0.1416726	0.1412289	0.1544194
G85	0.5486296	0.516971	0.6243463	0.5433652	0.5016228	0.5410449	0.5008824	0.6626442
G86	0.2629883	0.2206721	0.1890134	0.193413	0.1849513	0.2199318	0.2866296	0.1848006
G87	0.0903862	0.1086456	0.1244257	0.1331029	0.108443	0.1453289	0.1331502	0.1191019
G88	0.1117348	0.0941604	0.0513113	0.0588008	0.0277381	0.019155	0.036808	0.0351738
G89	0.6117108	0.3574321	0.2336326	0.1182834	0.0622182	0.0787234	0.037663	0.0192854
G90	0.5795126	0.5399941	0.7022839	0.631737	0.634825	0.5473087	0.6063096	0.5662996
G91	0.5480535	0.6136506	0.6698517	0.5361526	0.53913	0.6646977	0.5990736	0.6212078
G92	0.4096644	0.4121324	0.3643008	0.4309228	0.4351513	0.385159	0.4265049	0.3992558
G93	0.5410281	0.7137209	0.6608336	0.5820995	0.6135203	0.562631	0.664232	0.6738792
G94	0.4265481	0.4063065	0.4625569	0.4261965	0.3942986	0.4140818	0.4628293	0.4258619
G95	0.5636292	0.4343543	0.4912945	0.6093027	0.4038995	0.4158972	0.4733862	0.4170148
G96	0.6493028	0.6864299	0.5368012	0.5775013	0.5409723	0.5844982	0.5963299	0.6354434
G97	0.2838637	0.2822208	0.3071375	0.3798894	0.2908923	0.2356353	0.3392837	0.2526515
G98	0.7537472	0.551165	0.6312862	0.7683113	0.6874403	0.5351898	0.6682946	0.6012896
G99	0.5701027	0.4859485	0.5438375	0.5306332	0.5931418	0.5828167	0.4762043	0.4710385
G100	0.5772149	0.5907467	0.728179	0.6173873	0.5727239	0.599646	0.6891639	0.6892838
